@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,6,2,4,0,0,0,1,2,37,1,2,1,false
0.9.0,3,1,0,0,0,1,1,1,37,2,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,32,13,4,0,0,3,1,9,45,2,6,24,false
0.9.0,3,2,0,0,0,1,8,1,0,1,7,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,6,0,false
0.9.0,16,11,4,0,0,5,8,4,45,1,5,6,false
0.9.0,19,7,3,0,0,5,2,2,45,3,11,1,false
0.9.0,4,2,0,0,0,1,1,0,45,2,7,0,false
0.9.0,5,2,2,0,0,0,2,1,45,3,8,0,false
0.9.0,2,1,0,0,0,0,0,0,45,1,4,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,1,1,0,0,0,0,2,0,45,3,6,0,false
0.9.0,3,1,0,0,0,0,0,0,45,3,7,0,false
0.9.0,4,1,1,0,0,0,0,1,45,3,11,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,2,0,false
0.9.0,4,4,0,1,0,2,1,0,0,1,8,0,false
0.9.0,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,42,22,16,0,0,2,2,13,37,1,2,2,false
0.9.0,3,1,0,0,0,0,1,1,45,3,5,0,false
0.9.0,3,1,0,1,0,1,0,0,37,1,2,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.0,5,1,1,0,0,1,0,2,0,1,5,0,false
0.9.0,4,2,0,0,0,2,3,0,45,3,8,0,false
0.9.0,52,5,12,0,0,0,1,13,45,4,8,25,false
0.9.0,12,4,4,0,0,1,4,2,45,3,8,2,false
0.9.0,3,1,0,0,0,0,5,0,0,1,7,0,false
0.9.0,6,7,0,0,0,4,6,3,45,3,10,2,false
0.9.0,3,1,0,0,0,1,12,1,0,2,13,0,false
0.9.0,22,6,4,0,3,1,4,0,37,2,2,2,false
0.9.0,12,2,4,1,1,1,0,2,37,2,2,5,false
0.9.0,3,1,0,0,0,1,0,2,45,2,7,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,17,3,6,0,0,1,0,1,0,1,5,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,7,0,false
0.9.0,7,4,3,0,0,2,7,0,45,2,6,0,false
0.9.0,10,4,3,0,0,0,1,2,45,4,9,2,false
0.9.0,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,3,1,0,0,0,0,0,0,45,3,13,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,6,0,false
0.9.0,3,1,0,0,0,1,1,0,45,2,8,0,false
0.9.0,3,1,0,0,0,1,3,0,45,2,4,0,false
0.9.0,3,1,0,0,0,1,0,1,37,3,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,3,1,1,0,0,0,0,1,45,1,4,0,false
0.9.0,5,1,3,0,0,0,1,0,37,1,2,0,false
0.9.0,3,1,0,0,0,1,8,0,45,2,7,0,false
0.9.0,13,3,1,0,1,1,0,3,45,3,7,0,false
0.9.0,3,1,0,0,0,1,0,2,45,1,5,0,false
0.9.0,3,1,0,0,0,0,0,4,45,2,7,0,false
0.9.0,10,4,2,0,0,1,68,5,45,3,8,0,false
0.9.0,9,2,5,0,0,0,1,2,0,2,9,0,false
0.9.0,4,3,0,0,0,0,1,0,45,2,6,0,false
0.9.0,3,2,0,0,0,1,1,0,45,1,4,0,false
0.9.0,1,1,0,0,0,0,0,0,45,3,8,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,2,0,false
0.9.0,4,3,1,0,0,0,3,1,45,3,13,0,false
0.9.0,3,1,0,0,0,0,0,2,0,1,6,0,false
0.9.0,11,2,2,0,1,1,0,2,45,2,5,0,false
0.9.0,16,5,1,0,1,1,4,6,45,3,13,0,false
0.9.0,3,1,0,0,0,0,2,0,0,1,7,0,false
0.9.0,3,1,0,0,0,1,0,0,45,1,7,0,false
0.9.0,1,1,0,0,0,0,24,0,45,2,5,0,false
0.9.0,3,2,0,0,0,1,0,0,45,1,7,0,false
0.9.0,3,2,0,0,0,1,1,1,0,1,5,1,false
0.9.0,3,2,0,0,0,1,8,1,0,1,5,0,false
0.9.0,3,1,0,0,0,1,1,0,37,2,5,0,false
0.9.0,109,71,15,0,1,10,4,4,45,1,5,0,false
0.9.0,28,10,3,0,0,0,5,6,45,2,7,9,false
0.9.0,18,14,7,0,0,2,0,3,45,3,6,1,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,2,0,false
0.9.0,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,7,6,1,0,0,4,0,1,45,2,5,0,false
0.9.0,3,1,1,0,0,0,0,0,0,1,4,0,false
0.9.0,21,7,1,0,0,0,1,1,45,3,11,0,false
