@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.0,4,1,1,0,0,0,0,1,45,3,11,0,false
0.9.6,3,1,0,0,0,1,0,1,168,3,4,0,false
0.9.0,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.0,52,5,12,0,0,0,1,13,45,4,8,25,false
0.9.6,4,4,0,1,0,1,0,3,94,2,2,0,false
0.9.0,12,4,4,0,0,1,4,2,45,3,8,2,false
0.9.0,3,1,0,0,0,0,5,0,0,1,7,0,false
0.9.6,3,2,0,0,0,1,1,0,168,2,7,0,false
0.9.6,3,1,0,0,0,1,0,0,185,3,6,0,true
0.9.0,22,6,4,0,3,1,4,0,37,2,2,2,false
0.9.6,2,1,0,0,0,0,0,0,185,3,5,0,false
0.9.0,12,2,4,1,1,1,0,2,37,2,2,5,false
0.9.0,3,1,0,0,0,1,0,2,45,2,7,0,false
0.9.6,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,7,4,3,0,0,2,7,0,45,2,6,0,false
0.9.6,2,1,0,0,0,0,1,1,185,3,6,0,true
0.9.6,8,2,0,0,1,1,0,2,185,2,2,1,true
0.9.0,10,4,3,0,0,0,1,2,45,4,9,2,false
0.9.6,3,1,0,0,0,1,1,0,168,2,5,0,false
0.9.6,3,1,0,0,0,0,0,0,168,3,5,0,false
0.9.0,3,1,0,0,0,0,0,0,45,3,13,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,6,0,false
0.9.6,3,1,0,0,0,0,0,0,185,2,4,0,false
0.9.0,3,1,0,0,0,1,3,0,45,2,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.6,1,1,0,0,0,0,0,0,185,2,4,0,false
0.9.6,10,3,0,0,0,3,2,0,185,2,3,0,true
0.9.0,3,1,0,0,0,1,0,2,45,1,5,0,false
0.9.6,26,6,7,0,1,2,1,6,185,3,5,2,false
0.9.6,3,1,0,0,0,1,0,0,185,2,5,0,false
0.9.0,4,3,0,0,0,0,1,0,45,2,6,0,false
0.9.6,3,1,0,0,0,1,3,0,185,4,13,0,true
0.9.6,11,5,0,0,1,4,1,1,94,1,1,0,false
0.9.0,3,1,0,0,0,0,0,2,0,1,6,0,false
0.9.0,16,5,1,0,1,1,4,6,45,3,13,0,false
0.9.6,3,1,0,0,0,1,0,0,185,4,16,0,false
0.9.0,3,1,0,0,0,0,2,0,0,1,7,0,false
0.9.0,3,1,0,0,0,1,0,0,45,1,7,0,false
0.9.0,3,1,0,0,0,1,1,0,37,2,5,0,false
