Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
mlp,false,false,false,,0.0,0.0,0.0,0.0
mlp,false,false,true,,0.0,0.0,0.0,0.0
mlp,false,false,false,,0.7038888888888889,0.27095808383233533,0.8279541884991755,0.33758302978358695
mlp,false,false,false,,0.5657033805888768,0.6384615384615384,0.8751056981851987,0.5200038665963306
mlp,false,false,false,,0.8006042296072508,0.3014789533560865,0.7764540521260583,0.3810346825851055
mlp,false,false,false,,0.8176813471502591,0.30440024110910185,0.7405846689596993,0.38247360631184113
mlp,false,false,true,,0.47983014861995754,0.3866552609067579,0.6575403093899843,0.3426698254954773
mlp,false,false,false,,0.7997335701598579,0.3096629986244842,0.8034506779443633,0.363558549796242
mlp,false,false,true,,0.4493401447424436,0.6861693482853892,0.7580251620758833,0.42641184929547243
mlp,false,false,true,,0.43128594049504126,0.7961538461538461,0.8003622773354717,0.44688176399173624
mlp,false,false,true,,0.43449583642509687,0.6353224834237492,0.7253189600133906,0.3820629095969219
mlp,false,false,true,,0.35608353510895885,0.5032078699743371,0.6739125823725031,0.2969537878270246
mlp,false,false,true,,0.4193816245787134,0.7381361760660248,0.7135727056716069,0.33783020958572
mlp,false,false,true,,0.38718519787562106,0.4833190761334474,0.6763476771260284,0.319775705907724
mlp,false,false,true,,0.3520573277854831,0.7425646026328621,0.7330400444610354,0.3231268617776932
mlp,false,false,true,,0.2232295407789672,0.9849230769230769,0.6734713328369323,0.14525606760969445
mlp,false,false,false,,0.7385019710906702,0.3496927743641596,0.8138312667934946,0.3747265092138413
mlp,false,false,true,,0.4028486020749077,0.744677393141557,0.7606795922109442,0.3895297087314799
mlp,false,false,true,,0.24507750314201926,0.9873417721518988,0.6540279231528766,0.1415621943564888
mlp,false,false,true,,0.22496657518823446,0.9836923076923076,0.676421444527178,0.148728193552901
mlp,false,false,true,,0.31009272036216623,0.9962666251847243,0.6314297585351781,0.15104132019503178
mlp,false,false,true,,0.3078581437964859,0.9821182943603851,0.6550834257559193,0.17604834698638291
mlp,false,false,false,,0.6818071115440818,0.3853141559424678,0.7993174131427252,0.3839633204023804
mlp,false,false,true,,0.2512434755910347,0.9864978902953586,0.6649283118511446,0.15439703827957696
mlp,false,false,false,,0.7619897959183674,0.3454976577410213,0.8064298406080279,0.3720716941435203
mlp,false,false,true,,0.31353814897180354,0.9817744154057771,0.6638197352386654,0.1881532549156995
mlp,false,false,true,,0.30577405501934607,0.9898148785355447,0.6328786144340695,0.15115717082334262
mlp,false,false,false,,0.8646886208020867,0.25503678415156034,0.8211145073208124,0.30528755819412656
mlp,false,false,true,,0.38942829107059856,0.8721878433867329,0.6910781710509061,0.273414876430081
mlp,false,false,true,,0.30760172078156167,0.9954888387648752,0.6270261446828983,0.14532438828129252
mlp,false,false,true,,0.35275063907273174,0.9687454921382892,0.6387575628230713,0.18095752846439636
mlp,false,false,true,,0.3209848369592779,0.9845998288869876,0.6477159270023635,0.17463805464381923
mlp,false,false,true,,0.30538694190055204,0.9936687082788521,0.6327323585740159,0.15050563969653574
mlp,false,false,true,,0.30500574639254247,0.9862363223453307,0.6310893363389625,0.14922469858544907
mlp,false,false,true,,0.3675527861209486,0.9483546353594355,0.6817956547434664,0.24127389898291854
