release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp/java.java,safeRun/0,org.apache.bookkeeper.client.PendingReadOp.safeRun/0,3,1,0,0,0,0,0,1,412,3,12,0,false
4.2.0,org/apache/distributedlog/impl/metadata/BKDLConfig.java,setACLRootPath/1[java.lang.String],org.apache.distributedlog.impl.metadata.BKDLConfig.setACLRootPath/1[java.lang.String],4,1,1,0,0,1,0,0,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/proto/AuthHandler$ServerSideHandler$AuthResponseCallbackLegacy.java,"AuthResponseCallbackLegacy/2[BookieProtocol.AuthRequest,org.apache.bookkeeper.proto.Channel]","org.apache.bookkeeper.proto.AuthHandler.ServerSideHandler.AuthResponseCallbackLegacy.AuthResponseCallbackLegacy/2[BookieProtocol.AuthRequest,org.apache.bookkeeper.proto.Channel]",4,1,2,0,0,0,1,0,-1,-1,0,0,false
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean/java.java,run/0,.run/0,3,1,0,0,0,0,0,35,550,0,0,2,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException/java.java,BKDigestMatchException/0,org.apache.bookkeeper.client.BKException.BKDigestMatchException.BKDigestMatchException/0,3,1,0,0,0,0,1,0,412,1,4,0,false
4.2.0,org/apache/bookkeeper/stats/prometheus/PrometheusTextFormatUtil.java,"writeLabelsNoBraces/2[java.io.Writer,java.util.Map<java.lang.String,java.lang.String>]","org.apache.bookkeeper.stats.prometheus.PrometheusTextFormatUtil.writeLabelsNoBraces/2[java.io.Writer,java.util.Map<java.lang.String,java.lang.String>]",13,4,2,0,0,1,4,0,-1,-1,0,3,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp/java.java,getRc/0,org.apache.bookkeeper.client.PendingReadOp.LedgerEntryRequest.getRc/0,3,1,0,0,0,1,1,0,412,3,12,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,getMaxAddsInProgressLimit/0,org.apache.bookkeeper.conf.ServerConfiguration.getMaxAddsInProgressLimit/0,3,1,0,0,0,1,0,0,482,2,3,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationWorker/java.java,"ReplicationWorker/4[org.apache.bookkeeper.replication.ServerConfiguration,org.apache.bookkeeper.replication.BookKeeper,boolean,org.apache.bookkeeper.replication.StatsLogger]","org.apache.bookkeeper.replication.ReplicationWorker.ReplicationWorker/4[org.apache.bookkeeper.replication.ServerConfiguration,org.apache.bookkeeper.replication.BookKeeper,boolean,org.apache.bookkeeper.replication.StatsLogger]",38,1,22,1,0,0,0,1,147,1,7,0,true
4.2.1,org/apache/bookkeeper/common/allocator/impl/ByteBufAllocatorImpl.java,"newDirectBuffer/2[int,int]","org.apache.bookkeeper.common.allocator.impl.ByteBufAllocatorImpl.newDirectBuffer/2[int,int]",3,1,0,0,0,1,0,1,-1,-1,0,0,false
