release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,org/apache/bookkeeper/statelib/impl/kv/RocksdbKVStore.java,close/0,org.apache.bookkeeper.statelib.impl.kv.RocksdbKVStore.close/0,16,3,1,0,0,1,0,3,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/proto/BookieClientImpl.java,"completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]","org.apache.bookkeeper.proto.BookieClientImpl.completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]",8,2,0,0,1,0,1,1,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/net/NetworkTopologyImpl.java,chooseRandom/1[java.lang.String],org.apache.bookkeeper.net.NetworkTopologyImpl.chooseRandom/1[java.lang.String],14,2,0,0,1,2,0,1,-1,-1,0,2,false
4.1.0,org/apache/bookkeeper/common/util/OrderedExecutor$ContextPreservingRunnable.java,ContextPreservingRunnable/1[java.lang.Runnable],org.apache.bookkeeper.common.util.OrderedExecutor.ContextPreservingRunnable.ContextPreservingRunnable/1[java.lang.Runnable],4,1,2,0,0,0,1,0,-1,-1,0,0,false
4.1.0,org/apache/distributedlog/lock/ZKSessionLock$Anonymous5$Anonymous6$Anonymous7.java,onFailure/1[java.lang.Throwable],.onFailure/1[java.lang.Throwable],3,1,0,0,0,0,0,17,-1,-1,0,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean/java.java,getLocalAddress/0,org.apache.bookkeeper.proto.BookieServer.getLocalAddress/0,3,1,0,0,0,1,0,0,132,0,0,0,false
4.1.0,org/apache/distributedlog/ReadAheadEntryReader.java,isReadAheadCaughtUp/0,org.apache.distributedlog.ReadAheadEntryReader.isReadAheadCaughtUp/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal/java.java,run/0,org.apache.bookkeeper.bookie.Journal.QueueEntry.run/0,10,2,1,0,0,0,2,1,56,1,2,0,false
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,setHttpServerEnabled/1[boolean],org.apache.bookkeeper.conf.ServerConfiguration.setHttpServerEnabled/1[boolean],4,1,0,0,0,1,0,0,196,1,2,0,false
4.1.0,org/apache/distributedlog/BKLogSegmentWriter.java,getLastTxIdAcknowledged/0,org.apache.distributedlog.BKLogSegmentWriter.getLastTxIdAcknowledged/0,3,1,0,0,0,1,2,0,-1,-1,0,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel/java.java,preAllocIfNeeded/1[long],org.apache.bookkeeper.bookie.JournalChannel.preAllocIfNeeded/1[long],7,2,1,2,0,0,0,0,125,1,2,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl/java.java,fenceAndLogInJournal/1[org.apache.bookkeeper.bookie.Journal],org.apache.bookkeeper.bookie.LedgerDescriptorImpl.fenceAndLogInJournal/1[org.apache.bookkeeper.bookie.Journal],17,5,2,0,0,4,0,2,84,1,1,1,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration/java.java,setClientWriteBufferLowWaterMark/1[int],org.apache.bookkeeper.conf.ClientConfiguration.setClientWriteBufferLowWaterMark/1[int],4,1,0,0,0,1,0,0,225,2,3,0,false
4.1.0,org/apache/distributedlog/impl/BKNamespaceDriver.java,getWriterZKC/0,org.apache.distributedlog.impl.BKNamespaceDriver.getWriterZKC/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/zookeeper/ZooKeeperClient$Anonymous30.java,zkRun/0,.zkRun/0,9,2,1,0,0,0,0,0,-1,-1,0,2,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration/java.java,setSpeculativeReadLACTimeoutBackoffMultiplier/1[float],org.apache.bookkeeper.conf.ClientConfiguration.setSpeculativeReadLACTimeoutBackoffMultiplier/1[float],4,1,0,0,0,1,0,0,225,2,3,0,false
4.1.0,org/apache/bookkeeper/bookie/DefaultEntryLogger$EntryLookupException$InvalidEntryLengthException.java,"InvalidEntryLengthException/4[long,long,long,long]","org.apache.bookkeeper.bookie.DefaultEntryLogger.EntryLookupException.InvalidEntryLengthException.InvalidEntryLengthException/4[long,long,long,long]",3,1,0,0,0,0,1,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/replication/Auditor.java,createBookKeeperClient/1[org.apache.bookkeeper.replication.ServerConfiguration],org.apache.bookkeeper.replication.Auditor.createBookKeeperClient/1[org.apache.bookkeeper.replication.ServerConfiguration],3,1,0,0,0,1,1,1,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/client/TopologyAwareEnsemblePlacementPolicy$RRTopologyAwareCoverageEnsemble$CoverageSet.java,duplicate/0,org.apache.bookkeeper.client.TopologyAwareEnsemblePlacementPolicy.RRTopologyAwareCoverageEnsemble.CoverageSet.duplicate/0,1,1,0,0,0,0,1,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/bookie/storage/ldb/SingleDirectoryDbLedgerStorage$Anonymous2.java,diskAlmostFull/1[java.io.File],.diskAlmostFull/1[java.io.File],8,2,0,0,0,0,0,2,-1,-1,0,0,false
4.1.0,org/apache/distributedlog/logsegment/LogSegmentEntryReader.java,registerListener/1[org.apache.distributedlog.logsegment.LogSegmentEntryReader.StateChangeListener],org.apache.distributedlog.logsegment.LogSegmentEntryReader.registerListener/1[org.apache.distributedlog.logsegment.LogSegmentEntryReader.StateChangeListener],1,1,0,0,0,0,0,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/common/conf/ComponentConfiguration.java,"getCollection/3[java.lang.Class<T>,java.lang.String,java.util.Collection<T>]","org.apache.bookkeeper.common.conf.ComponentConfiguration.getCollection/3[java.lang.Class<T>,java.lang.String,java.util.Collection<T>]",3,1,0,0,0,1,0,0,-1,-1,0,0,false
