release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy/java.java,hasAutoAssignConstraints/0,org.apache.openjpa.jdbc.meta.strats.StateComparisonVersionStrategy.CustomUpdate.hasAutoAssignConstraints/0,3,1,0,0,0,1,0,0,1211,0,0,0,false
2.0.0-M2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy/java.java,"whereTime/3[org.apache.openjpa.jdbc.meta.strats.Column,java.sql.Time,java.util.Calendar]","org.apache.openjpa.jdbc.meta.strats.EmbedFieldStrategy.EmbeddedRow.whereTime/3[org.apache.openjpa.jdbc.meta.strats.Column,java.sql.Time,java.util.Calendar]",3,1,0,0,0,0,0,0,1211,0,0,0,false
1.0.2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedCharArrayFieldStrategy/java/java.java,"isCustom/2[org.apache.openjpa.jdbc.meta.strats.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.strats.JDBCStore]","org.apache.openjpa.jdbc.meta.strats.MaxEmbeddedCharArrayFieldStrategy.isCustom/2[org.apache.openjpa.jdbc.meta.strats.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.strats.JDBCStore]",4,3,1,0,0,1,0,0,1211,1,1,0,false
1.0.2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory/java.java,"trim/3[org.apache.openjpa.kernel.exps.Value,org.apache.openjpa.kernel.exps.Value,java.lang.Boolean]","org.apache.openjpa.kernel.exps.ExpressionFactory.trim/3[org.apache.openjpa.kernel.exps.Value,org.apache.openjpa.kernel.exps.Value,java.lang.Boolean]",1,1,0,0,0,0,0,0,1211,2,3,0,false
1.0.2,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingConnection/java.java,"prepareStatement/2[java.lang.String,int[]]","org.apache.openjpa.lib.jdbc.DelegatingConnection.prepareStatement/2[java.lang.String,int[]]",4,1,0,0,0,1,0,2,1137,1,1,0,false
1.0.2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory/java.java,getInstance/1[org.apache.openjpa.jdbc.kernel.ConfigurationProvider],org.apache.openjpa.jdbc.kernel.JDBCBrokerFactory.getInstance/1[org.apache.openjpa.jdbc.kernel.ConfigurationProvider],7,2,2,0,0,2,0,1,1211,3,4,1,false
1.0.2,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/AbstractConcurrentEventManager/java.java,hasListener/1[java.lang.Object],org.apache.openjpa.lib.util.concurrent.AbstractConcurrentEventManager.hasListener/1[java.lang.Object],3,1,0,0,0,1,0,0,1137,0,0,0,false
2.0.0-M1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ExpressionImpl/java.java,minus/0,org.apache.openjpa.persistence.query.ExpressionImpl.minus/0,3,1,0,0,0,1,0,0,362,0,0,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/InValueDiscriminatorStrategy/java/java.java,"hasClassConditions/2[org.apache.openjpa.jdbc.meta.ClassMapping,boolean]","org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.hasClassConditions/2[org.apache.openjpa.jdbc.meta.ClassMapping,boolean]",1,1,0,0,0,0,1,0,1211,0,0,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath/java/java.java,"appendIsEmpty/4[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.ExpContext,org.apache.openjpa.jdbc.kernel.exps.ExpState,org.apache.openjpa.jdbc.sql.SQLBuffer]","org.apache.openjpa.jdbc.kernel.exps.PCPath.appendIsEmpty/4[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.ExpContext,org.apache.openjpa.jdbc.kernel.exps.ExpState,org.apache.openjpa.jdbc.sql.SQLBuffer]",5,2,1,0,0,0,0,2,1211,2,5,1,false
