Classifier,feature selection,sampling,cost sensitive,precision,recall,auc,kappa
mlp,false,false,false,0.8609631792933631,0.9549669715447154,0.7947459115252182,0.3989580174597023
mlp,false,false,false,0.8617483530346213,0.9796568757635311,0.7235463375233295,0.24521548572231336
mlp,false,false,false,0.8742699373473506,0.7065739787161003,0.7162862046981512,0.30104173306026283
mlp,false,false,false,0.8605092966855296,0.9964427802480693,0.7717662614710816,0.2514583676731191
mlp,false,false,false,0.8161718561428917,0.8330623306233063,0.7242468465267379,0.3435747010587854
mlp,false,false,true,0.7945296864576384,0.7154994850669413,0.5497497425334706,0.08917023051247376
mlp,false,false,true,0.8292788176277037,0.9764989837398373,0.5827921513626166,0.22660863192361422
mlp,false,false,false,0.7329630956646364,0.9459884393063583,0.692205373874944,0.12101597083823136
mlp,false,false,false,0.7258163683563328,0.9827036026453314,0.7513415159115535,0.2238078740212011
mlp,false,false,true,0.8608014739751266,0.9926169862431614,0.5860451208706983,0.25116331347881854
mlp,false,false,true,0.8365636869102158,1.0,0.5,0.0
mlp,false,false,true,0.7434553054190804,0.9991130820399113,0.5444967075131919,0.12393767749315641
mlp,false,false,true,0.7272387298565309,0.9891791907514451,0.5366558054213847,0.09967386769714803
mlp,false,false,true,0.7158139534883721,0.9964389770152153,0.5691894955293751,0.17951478455576905
mlp,false,false,false,0.7038808884549671,0.5565462405434615,0.5162525860596118,-7.759227967199096E-4
mlp,false,false,false,0.7211977715877438,0.9337829552421827,0.7574517663459465,0.15428487755763926
mlp,false,false,true,0.7091662065157371,0.991431218156554,0.5117053168525831,0.032281538202691244
mlp,false,false,false,0.8164290935672515,0.5867673616811689,0.7030414734209667,0.2852011788137228
mlp,false,false,true,0.7112989323843416,0.9803801348865726,0.5450597519426005,0.1176548095378223
mlp,false,false,true,0.6973582064974476,0.9733705467082581,0.567219997840598,0.16703192639271083
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
sgd,false,false,false,0.8292787548256634,0.8595655487804879,0.5728778294760754,0.15430416548449277
sgd,false,false,false,0.8610743332702856,0.967227917352738,0.5847543333709115,0.2270578963342365
sgd,false,false,false,0.8351063829787234,0.714126330243735,0.6223488794075818,0.20937442197487452
sgd,false,false,false,0.8531631342324983,0.9948045869412591,0.5592135057370407,0.1799481528749253
sgd,false,false,false,0.7252617660722581,1.0,0.5,0.0
sgd,false,false,true,0.8351063829787234,0.714126330243735,0.6223488794075818,0.20937442197487452
sgd,false,false,true,0.8292787548256634,0.8595655487804879,0.5728778294760754,0.15430416548449277
sgd,false,false,false,0.7335527443518804,0.989456647398844,0.5511210177633489,0.1374527334175394
sgd,false,false,false,0.7175801342098989,0.9742403921749988,0.5712810948737368,0.18024517379586671
sgd,false,false,true,0.8610743332702856,0.967227917352738,0.5847543333709115,0.2270578963342365
sgd,false,false,true,0.8531631342324983,0.9948045869412591,0.5592135057370407,0.1799481528749253
sgd,false,false,true,0.7252617660722581,1.0,0.5,0.0
sgd,false,false,true,0.7335527443518804,0.989456647398844,0.5511210177633489,0.1374527334175394
sgd,false,false,true,0.7175801342098989,0.9742403921749988,0.5712810948737368,0.18024517379586671
sgd,false,false,false,0.7212104230876997,0.8941639647985178,0.5356226918276729,0.08538172632295003
sgd,false,false,false,0.7087249486682669,0.8838677101741984,0.5355754269421787,0.08399191694362312
sgd,false,false,true,0.7212104230876997,0.8941639647985178,0.5356226918276729,0.08538172632295003
sgd,false,false,false,0.7166374683685103,0.8461993104580529,0.590853160282825,0.19948618491073855
sgd,false,false,true,0.7087249486682669,0.8838677101741984,0.5355754269421787,0.08399191694362312
sgd,false,false,true,0.7166374683685103,0.8461993104580529,0.590853160282825,0.19948618491073855
mlp,false,true,false,0.9061011040092969,0.6691555097837281,0.7549859742043058,0.3359803729107855
mlp,false,true,false,0.9290438474728505,0.7226880081300813,0.7998408497007722,0.3740200009322869
mlp,false,true,false,0.9037850828255085,0.5593031284856854,0.7364367478142905,0.14292869819187098
mlp,false,true,false,0.9525631681243926,0.7340510180201264,0.7773039469256318,0.3714643604439164
mlp,false,true,false,0.8890227375395272,0.5818181818181818,0.7547093738840142,0.3039691098441123
mlp,false,true,false,0.8434824745598449,0.48295953757225435,0.6934901892469713,0.199204753003978
mlp,false,true,false,0.8831954656862745,0.5332747537344494,0.7696482506026278,0.3087900736446805
mlp,false,true,false,0.741951746489017,0.7952755905511811,0.5961251062920193,0.14389700145535414
mlp,false,true,false,0.8875604442318933,0.6024092040249576,0.7657885615631591,0.3600955094141509
mlp,false,true,false,0.79772565742715,0.5528156296174684,0.6900876142337894,0.23835682547818104
sgd,false,true,false,0.9277525993068515,0.5973223480947477,0.7212326026188024,0.3127457389761065
sgd,false,true,false,0.9583957397237477,0.36579014227642276,0.6508684249685983,0.1556988088149665
sgd,false,true,false,0.9311276794035415,0.5306740319753546,0.6650111946463794,0.17515226234607528
sgd,false,true,false,0.9334916864608076,0.588626257898432,0.686982031680409,0.21238570571270024
sgd,false,true,false,0.8633617238116037,0.584380389258438,0.670116833547013,0.2689717621669306
sgd,false,true,false,0.8591915464609191,0.473757225433526,0.6410452793834297,0.21219237987698647
