release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,validate,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,4,1,1,0,0,0,0,2,45,2,6,0,false
0.9.7,removeMetaData,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,9,4,1,0,0,3,0,0,334,3,5,0,false
0.9.6,fetchBoolean,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,3,1,0,0,0,0,0,0,185,2,4,0,false
2.0.0-M2,map,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerCollectionTableFieldStrategy.java,16,4,5,0,0,0,0,0,571,3,5,4,false
0.9.6,addDefaultAlias,openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerFactoryValue.java,4,1,0,0,0,0,1,0,185,2,6,0,false
1.0.3,getPrimaryKey,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,3,1,0,0,0,1,0,0,768,1,1,0,false
2.0.0-M2,getJoinDirection,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,4,3,0,0,0,2,0,1,1081,1,1,1,false
0.9.0,processReturn,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,3,2,0,0,0,1,0,0,45,3,11,0,false
0.9.6,setRestoreState,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,setDeclaringType,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,5,1,3,0,0,0,0,0,45,3,10,0,false
2.0.0-M2,appendTo,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NullIfExpression.java,9,1,1,0,0,0,1,0,218,1,1,0,false
0.9.7,persist,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PDeletedState.java,3,2,0,0,0,1,0,0,334,2,2,1,false
0.9.6,fetchInt,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,3,1,0,0,0,1,0,0,168,3,5,0,false
0.9.0,begin,openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java,2,1,0,0,0,0,0,0,45,3,6,0,false
0.9.6,setConnectionFactoryProperties,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,4,1,0,0,0,0,0,1,185,3,10,0,false
2.0.0-M2,isImplDataCacheable,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,3,2,0,0,0,1,0,0,1098,4,7,0,false
0.9.0,copy,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,3,1,0,0,0,0,0,0,45,3,10,0,false
1.0.1,newServerSocketAction,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/J2DoPrivHelper.java,8,1,0,0,0,1,0,1,182,3,4,0,false
0.9.7,addAll,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,4,2,0,0,0,0,0,1,317,3,3,0,false
1.0.3,getAccessPathMetaDatas,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,3,1,0,0,0,1,1,2,785,2,2,0,false
1.0.2,setSchemaFile,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,3,1,1,0,0,0,0,0,612,2,2,0,false
1.1.0,isTimedOut,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataImpl.java,3,3,0,0,0,1,0,0,723,1,3,0,false
0.9.7,toPKValues,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,26,9,11,1,0,5,0,12,334,2,5,2,false
0.9.7,newEmbeddedClassMetaData,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,3,1,0,0,0,1,0,0,334,3,5,0,false
0.9.7,getFieldNames,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCRegistry.java,4,1,1,0,0,1,0,1,334,2,2,0,false
0.9.6,indexOf,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractSQLServerDictionary.java,13,3,0,0,0,0,0,1,168,1,1,0,false
2.0.0-M2,replaceObjectField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,3,1,0,0,0,1,0,0,1098,4,7,0,false
0.9.6,getInverseManager,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,3,1,0,0,0,1,0,0,185,3,10,0,false
0.9.6,setToken,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,3,1,0,0,0,0,0,1,185,3,9,0,false
0.9.7,isObjectIdTypeShared,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,5,3,0,0,0,3,4,3,334,3,7,1,false
2.0.0-M2,close,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/UUIDType4StringSeq.java,2,1,0,0,0,0,0,0,369,1,2,0,false
0.9.6,isImplDataCacheable,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,getColumnAlias,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.6,setConnectionRetainMode,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,4,1,0,0,0,0,0,1,185,3,10,0,false
0.9.6,replaceObjectField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,0,0,0,0,0,0,185,2,5,0,false
1.2.1,setAnnotationParser,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,5,3,1,0,0,0,0,0,1022,1,1,0,false
2.0.0-M1,newValidationException,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,3,1,0,0,0,0,1,0,974,3,6,0,false
0.9.6,whereFloat,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,3,1,0,0,0,0,0,0,168,3,5,0,false
1.0.3,setFloat,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,3,1,0,0,0,0,0,1,768,1,1,0,false
0.9.6,setImplicitType,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,3,1,1,0,0,0,1,0,168,2,7,0,false
0.9.0,toDataStoreValue,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,3,1,0,0,0,1,0,0,37,2,4,0,false
1.0.2,setPrimaryKeys,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,3,1,1,0,0,0,0,0,612,2,2,0,false
2.0.0-M1,removeAggregateListener,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,5,1,0,0,0,1,0,0,974,3,6,0,false
0.9.6,getBrokerFactory,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.7,serializeQueryResultMapping,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,24,7,1,0,0,1,2,0,317,3,3,3,false
0.9.6,providedDoubleField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,1,0,0,0,0,0,185,2,5,0,false
2.0.0-M2,settingBooleanField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,16,5,1,0,1,1,0,6,1098,4,7,0,false
0.9.0,orderByPrimaryKey,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,3,2,0,0,0,1,1,1,37,2,6,0,false
0.9.6,storeObject,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,3,1,0,0,0,0,0,0,185,2,4,0,false
2.0.0-M2,calculateValue,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MapKey.java,3,1,0,0,0,0,0,0,101,2,5,0,false
0.9.6,fetchString,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java,1,1,0,0,0,0,0,0,185,2,4,0,false
