release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager/java.java,"realGetOwner/4[org.apache.hedwig.server.topics.ByteString,boolean,org.apache.hedwig.server.topics.Callback<org.apache.hedwig.server.topics.HedwigSocketAddress>,java.lang.Object]","org.apache.hedwig.server.topics.AbstractTopicManager.realGetOwner/4[org.apache.hedwig.server.topics.ByteString,boolean,org.apache.hedwig.server.topics.Callback<org.apache.hedwig.server.topics.HedwigSocketAddress>,java.lang.Object]",1,1,0,0,0,0,1,0,196,1,1,0,false
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber/java.java,call/0,org.apache.hedwig.client.benchmark.BenchmarkSubscriber.call/0,33,3,4,2,0,1,1,8,196,1,1,1,false
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager/java.java,run/0,org.apache.hedwig.server.topics.AbstractTopicManager.ReleaseOp.run/0,7,2,0,0,0,1,0,3,196,1,1,0,false
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils/java.java,"mergeLocalSeqId/2[org.apache.hedwig.protocol.PubSubProtocol.Message,long]","org.apache.hedwig.protoextensions.MessageIdUtils.mergeLocalSeqId/2[org.apache.hedwig.protocol.PubSubProtocol.Message,long]",3,1,0,0,0,1,0,2,196,0,0,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean/java.java,"getLedgerForEntry/2[java.nio.ByteBuffer,byte[]]","org.apache.bookkeeper.bookie.Bookie.getLedgerForEntry/2[java.nio.ByteBuffer,byte[]]",19,2,3,1,0,1,4,10,132,1,1,6,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools/java.java,"asyncDeleteLedger/3[long,org.apache.bookkeeper.client.AsyncCallback.DeleteCallback,java.lang.Object]","org.apache.bookkeeper.client.BookKeeper.asyncDeleteLedger/3[long,org.apache.bookkeeper.client.AsyncCallback.DeleteCallback,java.lang.Object]",3,1,0,0,0,0,1,2,196,1,1,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools/java.java,"BookKeeper/2[org.apache.bookkeeper.client.ZooKeeper,org.apache.bookkeeper.client.ClientSocketChannelFactory]","org.apache.bookkeeper.client.BookKeeper.BookKeeper/2[org.apache.bookkeeper.client.ZooKeeper,org.apache.bookkeeper.client.ClientSocketChannelFactory]",10,3,4,0,0,0,2,4,196,1,1,0,false
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer/java.java,"operationFinished/2[java.lang.Object,T]",".operationFinished/2[java.lang.Object,T]",4,1,0,0,0,0,0,2,196,0,0,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats/java.java,copyOf/1[org.apache.bookkeeper.proto.BKStats],org.apache.bookkeeper.proto.BKStats.copyOf/1[org.apache.bookkeeper.proto.BKStats],5,2,1,0,0,0,0,2,132,0,0,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager/java.java,isSpecialZnode/1[java.lang.String],org.apache.bookkeeper.meta.HierarchicalLedgerManager.isSpecialZnode/1[java.lang.String],3,1,0,0,0,1,2,0,204,2,4,0,false
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData/java.java,"MessageConsumeData/3[org.apache.hedwig.client.data.ByteString,org.apache.hedwig.client.data.ByteString,org.apache.hedwig.client.data.Message]","org.apache.hedwig.client.data.MessageConsumeData.MessageConsumeData/3[org.apache.hedwig.client.data.ByteString,org.apache.hedwig.client.data.ByteString,org.apache.hedwig.client.data.Message]",5,1,3,0,0,0,1,0,196,0,0,0,false
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol/java.java,getBody/0,org.apache.hedwig.protocol.PubSubProtocol.Message.Builder.getBody/0,3,1,0,0,0,1,0,1,196,1,1,0,false
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils/java.java,"areEqual/2[org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId]","org.apache.hedwig.protoextensions.MessageIdUtils.areEqual/2[org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId]",19,6,2,0,0,5,0,6,196,0,0,1,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean/java.java,getLocalAddress/0,org.apache.bookkeeper.proto.BookieServer.getLocalAddress/0,8,2,0,0,1,2,0,2,132,0,0,1,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal/java.java,run/0,org.apache.bookkeeper.bookie.Journal.run/0,64,12,17,2,1,0,0,6,56,1,2,9,false
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager/java.java,"writeTopicLedgersNode/4[org.apache.hedwig.server.persistence.ByteString,byte[],int,org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.TopicInfo]","org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.AcquireOp.writeTopicLedgersNode/4[org.apache.hedwig.server.persistence.ByteString,byte[],int,org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.TopicInfo]",15,1,1,0,0,0,2,2,196,1,3,1,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp/java.java,"readLastConfirmedDataComplete/2[int,org.apache.bookkeeper.client.DigestManager.RecoveryData]","org.apache.bookkeeper.client.ReadLastConfirmedOp.LastConfirmedDataCallback.readLastConfirmedDataComplete/2[int,org.apache.bookkeeper.client.DigestManager.RecoveryData]",1,1,0,0,0,0,1,0,450,2,5,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper/java.java,initializeZookeper/0,org.apache.bookkeeper.util.LocalBookKeeper.initializeZookeper/0,17,4,1,0,1,0,1,3,196,2,3,0,false
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback/java.java,"addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]","org.apache.bookkeeper.client.AsyncCallback.AddCallback.addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]",1,1,0,0,0,0,6,0,196,1,1,0,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel/java.java,"transferFrom/3[java.nio.channels.ReadableByteChannel,long,long]","org.apache.bookkeeper.bookie.MarkerFileChannel.transferFrom/3[java.nio.channels.ReadableByteChannel,long,long]",3,1,0,0,0,1,0,0,196,0,0,0,false
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher/java.java,"BenchmarkPublisher/11[int,int,int,int,int,int,org.apache.hedwig.client.api.Publisher,org.apache.hedwig.client.api.Subscriber,int,int,int]","org.apache.hedwig.client.benchmark.BenchmarkPublisher.BenchmarkPublisher/11[int,int,int,int,int,int,org.apache.hedwig.client.api.Publisher,org.apache.hedwig.client.api.Subscriber,int,int,int]",8,1,5,3,0,0,1,0,196,1,1,0,false
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol/java.java,getValueDescriptor/0,org.apache.hedwig.protocol.PubSubProtocol.ProtocolVersion.getValueDescriptor/0,3,1,0,0,0,1,0,1,196,1,1,2,false
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager/java.java,"safeOpenComplete/3[int,org.apache.hedwig.server.persistence.LedgerHandle,java.lang.Object]",".safeOpenComplete/3[int,org.apache.hedwig.server.persistence.LedgerHandle,java.lang.Object]",41,3,2,5,0,2,0,4,196,1,3,1,false
