release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
2.0.0-M1,lookupClass,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,20,5,3,0,1,3,1,2,974,3,5,4,true
0.9.6,setXMLParser,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,5,3,1,0,0,0,1,1,185,3,5,0,true
0.9.0,supportsDifferentTableCorrelationNames,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,3,1,0,0,0,1,0,0,0,1,4,0,false
2.0.0-M1,lookup,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java,20,8,3,0,2,2,1,0,883,2,3,3,false
1.0.3,getLockManager,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,3,1,0,0,0,1,0,0,785,2,4,0,false
0.9.0,initialize,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java,9,3,0,0,1,1,0,2,45,1,4,1,false
0.9.6,newBrokerImpl,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java,14,2,2,0,1,1,0,4,168,1,1,0,false
1.0.0,getObjectId,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,0,0,0,0,2,0,457,1,1,0,false
0.9.7,setInto,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,3,1,0,0,0,0,0,0,334,3,4,2,false
1.0.0,getFieldTypes,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCRegistry.java,4,1,1,0,0,1,1,1,457,1,1,0,false
0.9.6,endStoreManagerTransaction,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,40,11,9,0,3,1,2,4,185,4,19,5,true
0.9.6,getFieldCode,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/CodeGenerator.java,9,3,6,0,0,1,1,2,185,1,1,0,false
1.1.0,setMode,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,5,3,3,0,0,0,0,0,723,1,2,0,false
1.1.0,getJDBCDelegate,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,3,1,0,0,0,1,27,1,706,1,1,0,false
0.9.6,getDelegate,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,3,1,0,0,0,1,4,0,185,2,2,0,true
1.0.0,getNumberValue,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,3,1,0,0,0,1,1,2,457,2,2,0,true
1.0.1,startTable,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java,5,2,1,0,0,1,1,3,512,1,1,0,true
0.9.0,enhanceToNestedData,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataGenerator.java,31,1,5,0,0,0,1,0,45,1,3,24,false
1.0.0,logTime,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java,3,2,0,0,0,0,19,0,366,1,1,0,false
1.1.0,getOwner,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,4,3,1,0,0,1,8,0,706,1,1,1,true
0.9.6,getSourceFile,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,19,7,6,2,1,3,7,3,185,4,7,8,false
0.9.6,isEmbeddedOnly,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,8,4,3,0,0,1,12,2,185,4,13,1,true
0.9.0,setQuotedNumbersInQueries,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java,3,1,1,0,0,0,0,0,45,1,3,0,false
1.0.0,getUnproxyable,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,3,1,0,0,0,1,0,0,457,4,5,0,true
1.0.2,appendInfo,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java,24,8,3,0,0,0,0,1,538,1,1,0,false
1.2.1,isSelfReference,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,5,4,0,0,0,3,1,0,1005,1,1,0,true
1.0.0,getDeclaredType,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,3,1,0,0,0,1,6,1,457,4,7,0,false
