release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager/java.java,"realGetOwner/4[org.apache.hedwig.server.topics.ByteString,boolean,org.apache.hedwig.server.topics.Callback<org.apache.hedwig.server.topics.HedwigSocketAddress>,java.lang.Object]","org.apache.hedwig.server.topics.AbstractTopicManager.realGetOwner/4[org.apache.hedwig.server.topics.ByteString,boolean,org.apache.hedwig.server.topics.Callback<org.apache.hedwig.server.topics.HedwigSocketAddress>,java.lang.Object]",1,1,0,0,0,0,1,0,482,1,1,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager/java.java,isPartialUpdateSupported/0,org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.isPartialUpdateSupported/0,1,1,0,0,0,0,2,0,482,1,1,0,false
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient/java.java,handleAddResponse/1[BookieProtocol.AddResponse],org.apache.bookkeeper.proto.PerChannelBookieClient.handleAddResponse/1[BookieProtocol.AddResponse],34,8,8,0,0,1,1,1,482,2,3,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats/java.java,copyOf/1[org.apache.bookkeeper.proto.BKStats],org.apache.bookkeeper.proto.BKStats.copyOf/1[org.apache.bookkeeper.proto.BKStats],5,2,1,0,0,0,0,2,480,1,1,0,false
4.2.1,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/message/ObjectMessageImpl/java.java,generateHedwigMessage/0,org.apache.hedwig.jms.message.ObjectMessageImpl.generateHedwigMessage/0,13,3,2,1,1,1,0,2,1,0,0,1,false
4.2.1,org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,"deleteSubscriptionState/4[org.apache.hedwig.server.subscriptions.ByteString,org.apache.hedwig.server.subscriptions.ByteString,org.apache.hedwig.util.Callback<java.lang.Void>,java.lang.Object]","org.apache.hedwig.server.subscriptions.ZkSubscriptionManager.deleteSubscriptionState/4[org.apache.hedwig.server.subscriptions.ByteString,org.apache.hedwig.server.subscriptions.ByteString,org.apache.hedwig.util.Callback<java.lang.Void>,java.lang.Object]",16,1,0,0,0,0,0,2,-1,-1,0,1,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats/java.java,setInstanceId/1[java.lang.String],org.apache.bookkeeper.proto.DataFormats.CookieFormat.Builder.setInstanceId/1[java.lang.String],9,2,2,0,0,1,1,0,205,2,6,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean/java.java,getLocalAddress/0,org.apache.bookkeeper.proto.BookieServer.getLocalAddress/0,8,2,0,0,1,2,0,3,480,1,1,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal/java.java,run/0,org.apache.bookkeeper.bookie.Journal.run/0,67,13,17,2,1,0,0,2,328,3,6,9,false
4.2.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback/java.java,"operationFinished/2[java.lang.Object,PubSubProtocol.ResponseBody]","org.apache.hedwig.client.handlers.PubSubCallback.operationFinished/2[java.lang.Object,PubSubProtocol.ResponseBody]",9,1,3,0,0,0,0,0,412,1,2,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager/java.java,"writeTopicLedgersNode/4[org.apache.hedwig.server.persistence.ByteString,byte[],int,org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.TopicInfo]","org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.AcquireOp.writeTopicLedgersNode/4[org.apache.hedwig.server.persistence.ByteString,byte[],int,org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.TopicInfo]",15,1,1,0,0,0,2,2,482,1,1,1,true
4.2.1,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/selector/TreeDumperSelectorParserVisitor/java.java,"visit/2[org.apache.hedwig.jms.selector.ASTStringVarargParams,org.apache.hedwig.jms.selector.SelectorEvalState]","org.apache.hedwig.jms.selector.TreeDumperSelectorParserVisitor.visit/2[org.apache.hedwig.jms.selector.ASTStringVarargParams,org.apache.hedwig.jms.selector.SelectorEvalState]",5,2,0,1,0,1,0,2,1,0,0,0,false
4.2.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol/java.java,clearStartSeqIdIncluded/0,org.apache.hedwig.protocol.PubSubProtocol.LedgerRange.Builder.clearStartSeqIdIncluded/0,6,1,2,0,0,1,0,0,412,2,14,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager/java.java,clearRetryDelayForSubscriber/1[org.apache.hedwig.server.delivery.FIFODeliveryManager.ActiveSubscriberState],org.apache.hedwig.server.delivery.FIFODeliveryManager.DeliveryWorker.clearRetryDelayForSubscriber/1[org.apache.hedwig.server.delivery.FIFODeliveryManager.ActiveSubscriberState],13,3,0,0,0,0,0,3,482,1,3,0,false
4.2.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/NoResponseHandlerException/java.java,NoResponseHandlerException/1[java.lang.String],org.apache.hedwig.client.exceptions.NoResponseHandlerException.NoResponseHandlerException/1[java.lang.String],3,1,0,0,0,0,1,0,143,0,0,0,false
4.2.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HChannelManager/java.java,stopDelivery/1[org.apache.hedwig.client.netty.TopicSubscriber],org.apache.hedwig.client.netty.HChannelManager.stopDelivery/1[org.apache.hedwig.client.netty.TopicSubscriber],1,1,0,0,0,0,0,0,113,0,0,0,false
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/server/meta/MetadataManagerFactory/java.java,getTopics/0,org.apache.hedwig.server.meta.MetadataManagerFactory.getTopics/0,1,1,0,0,0,0,1,0,191,1,3,0,false
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel/java.java,"transferFrom/3[java.nio.channels.ReadableByteChannel,long,long]","org.apache.bookkeeper.bookie.MarkerFileChannel.transferFrom/3[java.nio.channels.ReadableByteChannel,long,long]",3,1,0,0,0,1,0,0,482,0,0,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback/java.java,"addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]","org.apache.bookkeeper.client.AsyncCallback.AddCallback.addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]",1,1,0,0,0,0,6,0,482,0,0,0,false
4.2.1,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/spi/MessageConsumerImpl/java.java,getSelectorAst/0,org.apache.hedwig.jms.spi.MessageConsumerImpl.getSelectorAst/0,3,1,0,0,0,1,1,0,1,0,0,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager/java.java,"hasLocalSubscriptions/1[java.util.Map<org.apache.hedwig.server.subscriptions.ByteString,org.apache.hedwig.server.subscriptions.InMemorySubscriptionState>]","org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.hasLocalSubscriptions/1[java.util.Map<org.apache.hedwig.server.subscriptions.ByteString,org.apache.hedwig.server.subscriptions.InMemorySubscriptionState>]",4,3,0,0,0,2,3,0,482,1,1,0,false
4.2.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol/java.java,getValueDescriptor/0,org.apache.hedwig.protocol.PubSubProtocol.StatusCode.getValueDescriptor/0,3,1,0,0,0,1,0,1,412,2,14,2,false
4.2.1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher/java.java,"BenchmarkPublisher/11[int,int,int,int,int,int,org.apache.hedwig.client.api.Publisher,org.apache.hedwig.client.api.Subscriber,int,int,int]","org.apache.hedwig.client.benchmark.BenchmarkPublisher.BenchmarkPublisher/11[int,int,int,int,int,int,org.apache.hedwig.client.api.Publisher,org.apache.hedwig.client.api.Subscriber,int,int,int]",8,1,5,3,0,0,1,0,482,1,1,0,true
