release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,org/apache/bookkeeper/zookeeper/ZooKeeperWatcherBase.java,addChildWatcher/1[org.apache.bookkeeper.zookeeper.Watcher],org.apache.bookkeeper.zookeeper.ZooKeeperWatcherBase.addChildWatcher/1[org.apache.bookkeeper.zookeeper.Watcher],4,1,0,0,0,1,2,0,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/server/service/ScrubberService.java,doStop/0,org.apache.bookkeeper.server.service.ScrubberService.doStop/0,4,1,0,0,0,0,0,0,-1,-1,0,0,false
4.1.0,org/apache/distributedlog/fs/DLFileSystem.java,getHomeDirectory/0,org.apache.distributedlog.fs.DLFileSystem.getHomeDirectory/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.1.0,org/apache/distributedlog/common/config/ConfigurationSubscription.java,fileNotFound/1[java.lang.Exception],org.apache.distributedlog.common.config.ConfigurationSubscription.fileNotFound/1[java.lang.Exception],3,2,0,0,0,1,2,0,-1,-1,0,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks/java.java,"process/2[T,AsyncCallback.VoidCallback]","org.apache.bookkeeper.proto.BookkeeperInternalCallbacks.Processor.process/2[T,AsyncCallback.VoidCallback]",1,1,0,0,0,0,0,0,412,1,1,0,false
4.1.0,org/apache/distributedlog/DistributedLogConfiguration.java,setZKNumRetries/1[int],org.apache.distributedlog.DistributedLogConfiguration.setZKNumRetries/1[int],4,1,0,0,0,1,0,0,-1,-1,0,0,false
4.1.0,org/apache/distributedlog/ZooKeeperClient.java,unregister/1[org.apache.distributedlog.Watcher],org.apache.distributedlog.ZooKeeperClient.unregister/1[org.apache.distributedlog.Watcher],3,2,0,0,0,1,2,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/stream/storage/impl/cluster/ZkClusterInitializer.java,"initializeCluster/2[java.net.URI,int]","org.apache.bookkeeper.stream.storage.impl.cluster.ZkClusterInitializer.initializeCluster/2[java.net.URI,int]",32,5,8,0,2,2,0,0,-1,-1,0,1,false
4.1.0,org/apache/bookkeeper/metadata/etcd/EtcdWatchClient.java,sendNextWatchCreateRequest/0,org.apache.bookkeeper.metadata.etcd.EtcdWatchClient.sendNextWatchCreateRequest/0,3,1,0,0,0,0,2,1,-1,-1,0,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean/java.java,getBookieRequestProcessor/0,org.apache.bookkeeper.proto.BookieServer.getBookieRequestProcessor/0,3,1,0,0,0,1,0,0,480,1,1,0,true
4.1.0,org/apache/bookkeeper/common/util/OrderedExecutor.java,newBuilder/0,org.apache.bookkeeper.common.util.OrderedExecutor.newBuilder/0,3,1,0,0,0,1,1,1,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/api/kv/result/DeleteResult.java,prevKvs/0,org.apache.bookkeeper.api.kv.result.DeleteResult.prevKvs/0,1,1,0,0,0,0,0,0,-1,-1,0,0,false
4.2.0,com/scurrilous/circe/checksum/Java9IntHash.java,"updateBytes/4[int,byte[],int,int]","com.scurrilous.circe.checksum.Java9IntHash.updateBytes/4[int,byte[],int,int]",8,2,0,1,1,1,2,0,-1,-1,0,1,false
4.2.0,org/apache/bookkeeper/bookie/storage/ldb/SingleDirectoryDbLedgerStorage.java,getExplicitLac/1[long],org.apache.bookkeeper.bookie.storage.ldb.SingleDirectoryDbLedgerStorage.getExplicitLac/1[long],26,7,3,0,0,3,1,2,-1,-1,0,6,false
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils/java.java,requestToString/1[java.lang.Object],org.apache.bookkeeper.util.StringUtils.requestToString/1[java.lang.Object],9,2,1,0,0,2,1,0,196,0,0,3,false
4.1.0,org/apache/bookkeeper/tools/cli/commands/bookie/ReadLogMetadataCommand.java,"printEntryLogMetadata/2[org.apache.bookkeeper.tools.cli.commands.bookie.ServerConfiguration,long]","org.apache.bookkeeper.tools.cli.commands.bookie.ReadLogMetadataCommand.printEntryLogMetadata/2[org.apache.bookkeeper.tools.cli.commands.bookie.ServerConfiguration,long]",10,1,1,0,0,0,1,1,-1,-1,0,4,false
4.2.0,org/apache/bookkeeper/stats/otel/OtelStatsLogger.java,completeName/1[java.lang.String],org.apache.bookkeeper.stats.otel.OtelStatsLogger.completeName/1[java.lang.String],4,2,1,0,0,1,3,0,-1,-1,0,0,false
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,setAllowStorageExpansion/1[boolean],org.apache.bookkeeper.conf.ServerConfiguration.setAllowStorageExpansion/1[boolean],4,1,0,0,0,1,0,0,412,3,12,0,true
4.1.0,org/apache/bookkeeper/tools/framework/CommandUtils.java,"printDescription/4[java.io.PrintStream,int,int,java.lang.String]","org.apache.bookkeeper.tools.framework.CommandUtils.printDescription/4[java.io.PrintStream,int,int,java.lang.String]",25,5,7,2,0,0,4,1,-1,-1,0,3,false
4.2.0,org/apache/bookkeeper/replication/AuditorReplicasCheckTask$MissingEntriesInfo.java,getLedgerId/0,org.apache.bookkeeper.replication.AuditorReplicasCheckTask.MissingEntriesInfo.getLedgerId/0,3,1,0,0,0,1,0,0,-1,-1,0,1,false
4.2.0,org/apache/bookkeeper/util/collections/ConcurrentLongLongHashMap$LongLongFunction.java,apply/1[long],org.apache.bookkeeper.util.collections.ConcurrentLongLongHashMap.LongLongFunction.apply/1[long],1,1,0,0,0,0,1,0,-1,-1,0,0,false
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,"setGcOverreplicatedLedgerWaitTime/2[long,java.util.concurrent.TimeUnit]","org.apache.bookkeeper.conf.ServerConfiguration.setGcOverreplicatedLedgerWaitTime/2[long,java.util.concurrent.TimeUnit]",4,1,0,0,0,1,0,0,412,3,12,0,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient/java.java,"writeAndFlush/3[org.apache.bookkeeper.proto.Channel,org.apache.bookkeeper.proto.PerChannelBookieClient.CompletionKey,java.lang.Object]","org.apache.bookkeeper.proto.PerChannelBookieClient.writeAndFlush/3[org.apache.bookkeeper.proto.Channel,org.apache.bookkeeper.proto.PerChannelBookieClient.CompletionKey,java.lang.Object]",3,1,0,0,0,0,12,2,412,3,7,0,false
