release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,getSubscriptionChannel,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/simple/SimpleHChannelManager.java,,3,1,0,0,0,1,1,0,113,1,3,0,false
4.2.0,submitCallback,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,PendingReadOp,3,1,0,0,0,0,2,0,412,3,18,0,false
4.2.0,grabCleanPage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,,60,14,8,2,0,2,1,1,384,2,15,14,false
4.2.0,registerBookie,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,32,6,3,2,1,1,1,1,412,3,50,0,false
4.2.0,hasMessageFilter,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionPreferences,3,2,0,0,0,1,3,0,4,2,14,0,false
4.2.0,maybeForceBuilderInitialization,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageSeqId$Builder,5,2,0,0,0,0,2,0,412,2,16,0,false
4.2.0,releaseTopicIfRequested,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,BookkeeperPersistenceManager,26,5,2,2,0,1,3,0,412,3,16,2,false
4.2.0,getVersion,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$LedgerRereplicationLayoutFormat$Builder,3,1,0,0,0,1,0,0,205,2,6,0,false
4.2.0,getMinLatency,hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,ServerStats$OpStatData,3,1,0,0,0,1,0,0,366,1,2,0,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,,24,6,1,3,1,1,0,18,8,1,1,2,false
4.1.0,getNumWorkerThreads,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,,3,1,0,0,0,1,2,0,225,2,6,1,true
4.1.0,readLedger,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,,63,15,12,11,4,4,1,5,0,1,1,13,true
4.2.0,runCmd,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole$MyCommand,1,1,0,0,0,0,3,0,216,2,8,0,false
4.2.0,getOptionsFieldBuilder,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionOptions$Builder,7,2,2,0,0,1,0,0,216,2,15,0,false
4.2.0,asyncMessageDeliver,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/ActiveSubscriber.java,ActiveSubscriber,10,3,0,0,0,1,3,2,42,1,1,0,false
4.2.0,hasTxnId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse$Builder,3,2,0,0,0,1,1,0,412,2,16,0,false
4.2.0,getResponseBody,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse$Builder,8,2,0,0,0,2,2,0,412,2,16,0,false
4.2.0,parseDelimitedFrom,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionOptions,9,2,1,0,0,2,0,2,216,2,15,0,false
4.2.0,verifyLedgerFragment,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,LedgerChecker,20,4,4,0,0,1,1,2,154,1,3,0,false
4.2.0,getEnsembleSize,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,,1,1,0,0,0,0,0,0,205,2,6,0,false
4.1.0,getEntryOffset,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,,16,3,4,3,1,1,1,7,84,3,6,0,true
4.2.0,start,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,InterleavedLedgerStorage,3,1,0,0,0,0,0,0,328,2,11,0,false
4.2.0,buildParsed,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscribeRequest$Builder,7,2,1,0,0,1,2,2,412,2,16,2,false
4.2.0,hasNumTopics,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$HubLoadDataOrBuilder,1,1,0,0,0,0,0,0,4,2,14,0,false
4.2.0,fatalError,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,,2,1,0,0,0,0,0,1,384,2,15,0,false
4.2.0,getZkHost,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,ServerConfiguration,3,1,0,0,0,1,2,0,412,3,15,0,false
4.1.0,openLedgerNoRecovery,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,,8,2,1,0,0,1,0,9,196,3,14,0,true
4.2.0,getDescriptorForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRanges$Builder,3,1,0,0,0,1,0,1,412,2,16,1,false
4.2.0,getRemoteComponentsBuilder,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageSeqId$Builder,3,1,0,0,0,1,0,0,412,2,16,0,false
4.2.0,getPreferencesOrBuilder,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionDataOrBuilder,1,1,0,0,0,0,0,0,4,2,14,0,false
4.2.0,addEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,LedgerHandle,12,2,2,0,0,1,1,3,412,3,32,0,false
4.2.0,internalGetFieldAccessorTable,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionEventResponse,3,1,0,0,0,1,0,0,4,2,14,0,false
4.2.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,BookieWatcher,18,3,3,0,0,1,1,2,412,2,9,1,false
4.2.0,run,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,PubSubServer,29,3,11,0,1,1,0,35,412,3,17,0,false
4.2.0,parseFrom,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$UnderreplicatedLedgerFormat,3,1,0,0,0,1,0,2,205,2,6,0,false
4.2.0,buildParsed,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishResponse$Builder,7,2,1,0,0,1,2,2,4,2,14,2,false
4.2.0,clear,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$Message$Builder,22,3,8,0,0,1,0,2,412,2,16,3,false
4.1.0,detectPreviousVersion,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,,25,6,3,2,1,3,3,1,0,2,3,0,true
4.2.0,storeTopic2HostMapping,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,HedwigClientImpl,19,7,6,1,0,1,1,1,442,2,10,2,false
4.1.0,clearConsumeRequest,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,,5,1,2,0,0,1,0,1,196,1,2,1,true
4.0.0,recoverLedgerFragment,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,,25,7,7,1,0,1,1,8,4,2,5,3,false
4.2.0,recoverLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,,89,1,0,0,0,0,2,1,484,3,22,13,false
4.1.0,read,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,,3,1,0,0,0,1,2,0,125,1,2,0,true
4.0.0,shutdown,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,15,4,2,0,0,1,2,5,4,3,13,0,false
4.2.0,getDefaultInstance,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionOptions,3,1,0,0,0,1,3,0,216,2,15,0,false
4.2.0,close,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,LedgerCacheImpl,11,3,1,0,0,0,0,1,384,2,15,1,false
4.2.0,getInstanceId,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,11,2,3,1,1,1,1,0,412,3,50,0,false
4.2.0,refreshRegionList,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,ServerConfiguration,9,2,3,0,0,0,2,0,412,3,15,1,false
4.2.0,getOpenLedgerRereplicationGracePeriod,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,3,1,0,0,0,1,0,0,441,3,15,0,false
4.1.0,ledgersPath,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,,3,1,0,0,0,1,4,1,196,1,5,0,true
4.2.0,getJournalDirName,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,3,1,0,0,0,1,1,0,441,3,15,0,false
4.2.0,setMinorCompactionThreshold,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,ServerConfiguration,4,1,0,0,0,1,0,0,441,3,15,0,false
4.1.0,isSpecialZnode,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,,3,1,0,0,0,1,2,0,204,2,4,0,true
4.2.0,readTopic,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,ReadTopic,19,4,1,3,1,0,1,1,216,1,3,2,false
4.0.0,readEntryComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,,26,6,4,3,1,2,0,4,4,2,3,1,false
4.2.0,hasLedgerId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRange,3,2,0,0,0,1,2,0,412,2,16,0,false
4.2.0,getDefaultInstanceForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageSeqId$Builder,3,1,0,0,0,1,0,1,412,2,16,1,false
4.2.0,createLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,FlatLedgerManager,23,1,1,0,0,0,0,1,420,3,7,2,false
4.1.0,postReleaseCleanup,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,,1,1,0,0,0,0,1,0,196,1,4,0,false
4.2.0,hasValue,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$Map$EntryOrBuilder,1,1,0,0,0,0,0,0,4,2,14,0,false
4.2.0,consume,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,SubscribeResponseHandler,1,1,0,0,0,0,0,0,412,2,13,0,false
4.2.0,isFenced,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,,15,3,2,0,1,2,0,1,384,2,15,0,false
4.0.0,instantiateZookeeperClient,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,17,3,4,1,1,1,2,2,4,3,13,2,false
4.2.0,newSubscriptionDataManager,hedwig-server/src/main/java/org/apache/hedwig/server/meta/MetadataManagerFactory.java,,1,1,0,0,0,0,1,0,191,1,3,0,false
4.2.0,createTopicPersistenceInfo,hedwig-server/src/main/java/org/apache/hedwig/server/meta/ZkMetadataManagerFactory.java,ZkMetadataManagerFactory$ZkTopicPersistenceManagerImpl,20,1,2,0,0,1,1,2,191,1,6,2,false
4.0.0,stopDelivery,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,,1,1,0,0,0,0,1,0,4,1,1,0,false
4.2.0,getVoteSequenceId,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AuditorElector.java,,4,1,1,0,0,1,1,0,4,2,5,0,false
4.1.0,deleteSubscriptionState,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,,1,1,0,0,0,0,2,0,196,1,7,0,false
4.2.0,getReadOnlyBookies,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,,3,1,0,0,0,1,1,0,4,2,3,0,false
