release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager/java.java,"initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]","org.apache.openjpa.kernel.ObjectIdStateManager.initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]",3,1,0,0,0,0,0,0,334,3,3,0,false
0.9.7,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,"toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]",23,13,7,0,1,2,2,8,334,5,11,0,true
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository/java.java,getQueryMetaDatas/0,org.apache.openjpa.meta.MetaDataRepository.getQueryMetaDatas/0,10,2,0,0,0,2,0,0,334,3,5,0,false
0.9.7,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer/java.java,serialize/1[java.util.Collection],org.apache.openjpa.persistence.XMLPersistenceMetaDataSerializer.serialize/1[java.util.Collection],63,26,14,0,0,0,0,16,334,2,2,6,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary/java.java,"getSequencesSQL/2[org.apache.openjpa.jdbc.sql.DBIdentifier,org.apache.openjpa.jdbc.sql.DBIdentifier]","org.apache.openjpa.jdbc.sql.OracleDictionary.getSequencesSQL/2[org.apache.openjpa.jdbc.sql.DBIdentifier,org.apache.openjpa.jdbc.sql.DBIdentifier]",11,6,1,0,0,1,0,0,317,2,3,0,false
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/meta/SequenceMetaData/java.java,setAllocate/1[int],org.apache.openjpa.meta.SequenceMetaData.setAllocate/1[int],3,1,1,0,0,0,0,0,334,1,1,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl/java.java,setColumnIO/1[org.apache.openjpa.jdbc.meta.ColumnIO],org.apache.openjpa.jdbc.meta.ValueMappingImpl.setColumnIO/1[org.apache.openjpa.jdbc.meta.ColumnIO],3,1,1,0,0,0,0,0,317,1,1,0,false
0.9.7,org/apache/openjpa/kernel/AuditManager$AuditCallback.java,afterDetach/1[org.apache.openjpa.kernel.LifecycleEvent],org.apache.openjpa.kernel.AuditManager.AuditCallback.afterDetach/1[org.apache.openjpa.kernel.LifecycleEvent],2,1,0,0,0,0,0,0,-1,-1,0,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping/java.java,"wherePrimaryKey/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]","org.apache.openjpa.jdbc.meta.FieldMapping.wherePrimaryKey/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]",4,2,0,0,0,0,0,1,317,1,1,0,false
0.9.7,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations/java.java,"newInstance/5[java.lang.String,org.apache.openjpa.lib.conf.Value,org.apache.openjpa.lib.conf.Configuration,java.lang.ClassLoader,boolean]","org.apache.openjpa.lib.conf.Configurations.newInstance/5[java.lang.String,org.apache.openjpa.lib.conf.Value,org.apache.openjpa.lib.conf.Configuration,java.lang.ClassLoader,boolean]",29,16,7,0,1,4,3,3,243,3,6,4,false
