release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,updateSourceMode,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,4,3,0,0,0,0,1,1,45,3,11,0,false
0.9.0,requiresCandidateType,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,select,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,2,1,0,0,0,0,0,0,37,2,3,0,false
0.9.0,newInMemoryExecutor,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractStoreQuery.java,3,1,0,0,0,0,0,0,45,2,4,0,false
0.9.0,addLifecycleListeners,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java,8,4,2,0,0,1,1,1,45,2,6,1,false
0.9.0,begin,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,3,1,0,0,0,0,0,0,45,4,9,0,false
0.9.0,startEntityResult,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java,9,2,4,0,0,1,2,1,37,2,3,2,false
0.9.0,parseResources,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ConfigurationProviderImpl.java,8,2,1,0,0,1,1,2,45,2,8,0,false
0.9.0,indexOf,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/CopyOnWriteArrayList.java,4,2,1,2,0,1,0,2,0,1,5,0,false
0.9.0,inContains,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,10,5,2,0,0,0,1,0,37,2,4,0,false
0.9.0,setLockTimeout,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java,9,2,0,0,1,1,1,2,45,3,7,1,false
0.9.0,clearParameters,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,4,1,0,0,0,0,2,0,37,2,4,0,false
0.9.0,dirty,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,setImplData,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,7,3,4,0,0,1,0,0,45,3,13,0,false
0.9.0,getValueType,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/FileValue.java,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,set,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/DoubleValue.java,4,2,0,0,0,0,0,1,0,1,4,0,false
0.9.0,get,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,equals,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,5,3,1,0,0,2,0,1,0,1,4,0,false
0.9.0,newInstance,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,7,1,1,0,0,1,0,7,45,3,8,0,false
