release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.0.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository/java.java,getQueryMetaDatas/0,org.apache.openjpa.meta.MetaDataRepository.getQueryMetaDatas/0,10,2,0,0,0,2,0,0,457,4,7,0,false
1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary/java.java,"getSequencesSQL/2[org.apache.openjpa.jdbc.sql.DBIdentifier,org.apache.openjpa.jdbc.sql.DBIdentifier]","org.apache.openjpa.jdbc.sql.OracleDictionary.getSequencesSQL/2[org.apache.openjpa.jdbc.sql.DBIdentifier,org.apache.openjpa.jdbc.sql.DBIdentifier]",11,6,1,0,0,1,0,0,440,1,3,0,false
1.0.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/LogFactoryImpl/java.java,getDiagnosticContext/0,org.apache.openjpa.lib.log.LogFactoryImpl.getDiagnosticContext/0,10,5,3,0,0,1,1,0,366,2,2,0,false
1.0.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl/java.java,getUserObject/1[java.lang.Object],org.apache.openjpa.kernel.BrokerImpl.getUserObject/1[java.lang.Object],9,2,0,0,1,1,0,2,457,4,6,0,false
1.0.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder/java.java,"traversePath/2[org.apache.openjpa.kernel.exps.Path,java.lang.String]","org.apache.openjpa.kernel.exps.AbstractExpressionBuilder.traversePath/2[org.apache.openjpa.kernel.exps.Path,java.lang.String]",3,1,0,0,0,1,0,1,457,1,2,0,false
1.0.0,org/apache/openjpa/kernel/AuditManager$AuditCallback.java,afterDetach/1[org.apache.openjpa.kernel.LifecycleEvent],org.apache.openjpa.kernel.AuditManager.AuditCallback.afterDetach/1[org.apache.openjpa.kernel.LifecycleEvent],2,1,0,0,0,0,0,0,-1,-1,0,0,false
1.0.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory/java.java,decode/1[java.lang.String],org.apache.openjpa.meta.AbstractCFMetaDataFactory.decode/1[java.lang.String],41,12,12,7,0,3,1,0,457,3,8,1,false
1.0.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations/java.java,"newInstance/5[java.lang.String,org.apache.openjpa.lib.conf.Value,org.apache.openjpa.lib.conf.Configuration,java.lang.ClassLoader,boolean]","org.apache.openjpa.lib.conf.Configurations.newInstance/5[java.lang.String,org.apache.openjpa.lib.conf.Value,org.apache.openjpa.lib.conf.Configuration,java.lang.ClassLoader,boolean]",44,19,12,0,2,4,3,5,366,3,3,3,false
1.0.0,org/apache/openjpa/persistence/criteria/CriteriaBuilderImpl.java,"concat/2[org.apache.openjpa.persistence.criteria.Expression<java.lang.String>,java.lang.String]","org.apache.openjpa.persistence.criteria.CriteriaBuilderImpl.concat/2[org.apache.openjpa.persistence.criteria.Expression<java.lang.String>,java.lang.String]",3,1,0,0,0,1,0,0,-1,-1,0,0,false
1.0.0,org/apache/openjpa/persistence/criteria/CriteriaBuilderImpl.java,isNotEmpty/1[org.apache.openjpa.persistence.criteria.Expression<C>],org.apache.openjpa.persistence.criteria.CriteriaBuilderImpl.isNotEmpty/1[org.apache.openjpa.persistence.criteria.Expression<C>],3,1,0,0,0,1,0,0,-1,-1,0,0,false
