loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
3,1,0,0,0,0,8,1,196,1,4,0,FALSO
3,1,0,1,0,0,1,1,268,2,4,0,FALSO
5,1,1,0,0,1,0,1,229,1,1,0,FALSO
3,1,0,0,0,1,5,0,196,1,2,0,FALSO
3,1,0,0,0,1,0,0,125,1,2,0,FALSO
15,2,4,0,0,0,1,5,196,3,10,1,FALSO
3,1,1,0,0,0,0,0,229,1,1,0,FALSO
3,1,0,0,0,1,1,0,225,2,2,0,FALSO
3,1,0,0,0,1,0,0,84,1,1,0,FALSO
29,1,0,0,0,1,0,1,268,2,4,1,FALSO
3,1,0,0,0,1,0,0,268,2,4,1,FALSO
63,5,27,0,0,0,0,2,229,1,1,1,FALSO
14,2,4,0,1,0,1,6,268,2,4,1,FALSO
40,11,3,2,1,2,2,4,196,1,4,0,FALSO
156,2,0,0,0,0,2,1,268,2,4,11,FALSO
3,1,0,1,0,1,1,0,196,1,2,0,FALSO
5,1,3,0,0,0,1,0,268,2,4,0,FALSO
3,1,0,0,0,1,0,1,196,1,2,0,FALSO
3,1,0,1,0,1,2,1,196,1,2,0,FALSO
3,1,0,0,0,1,2,1,196,1,2,0,FALSO
15,4,4,5,0,0,1,1,268,2,4,0,FALSO
35,10,3,0,1,0,1,2,0,2,3,2,FALSO
3,1,0,0,0,1,0,2,268,2,4,1,FALSO
7,2,2,0,0,0,0,1,196,0,0,0,FALSO
20,3,4,1,1,2,0,1,56,2,3,2,FALSO
3,1,0,0,0,1,0,5,229,1,1,0,FALSO
13,3,2,0,0,0,0,2,196,3,10,0,FALSO
25,7,8,2,0,3,1,1,229,1,1,1,FALSO
4,1,1,0,0,1,1,0,196,1,4,0,FALSO
3,1,0,0,0,1,1,1,225,2,3,0,FALSO
3,1,0,0,0,0,0,3,268,2,4,0,FALSO
6,1,0,0,0,0,0,2,196,3,10,0,FALSO
5,2,0,0,0,0,1,0,0,1,2,0,FALSO
4,1,1,0,0,0,1,2,229,1,1,1,FALSO
9,2,1,0,0,2,1,0,196,0,0,3,FALSO
3,1,0,0,0,0,5,1,196,3,10,0,FALSO
3,1,0,0,0,0,0,0,268,2,4,0,FALSO
14,4,3,2,0,1,1,0,132,0,0,0,FALSO
48,8,7,2,1,1,0,6,0,2,3,7,FALSO
11,2,4,1,1,1,0,1,132,0,0,3,FALSO
9,2,1,0,0,0,0,1,229,1,1,2,FALSO
8,2,0,0,1,1,0,2,225,2,2,0,FALSO
3,1,0,0,0,0,0,0,225,2,2,0,FALSO
23,4,6,3,1,1,0,1,196,1,4,0,FALSO
3,1,0,0,0,1,1,1,204,3,4,0,FALSO
22,2,2,0,0,1,0,2,196,1,1,1,FALSO
8,2,0,0,0,0,0,2,56,2,3,0,FALSO
6,1,2,0,0,1,0,1,196,1,1,0,FALSO
6,2,0,0,0,0,1,0,229,1,1,0,FALSO
20,4,1,0,1,1,1,3,56,1,2,1,FALSO
8,2,0,0,1,0,0,0,204,3,4,1,FALSO
3,1,0,0,0,0,0,1,196,3,10,0,FALSO
3,1,0,0,0,1,0,1,132,0,0,0,FALSO
16,3,0,0,1,1,2,0,196,1,1,2,FALSO
3,1,0,0,0,0,1,1,196,3,10,0,FALSO
4,1,1,0,0,0,0,2,268,2,4,1,FALSO
12,3,1,0,1,0,1,1,56,1,2,0,FALSO
3,2,0,0,0,1,3,0,229,1,1,0,FALSO
9,1,5,0,0,0,0,5,196,3,10,0,FALSO
6,2,2,0,0,0,0,0,225,2,2,0,FALSO
5,1,0,0,0,0,0,0,229,1,1,0,FALSO
8,2,0,0,0,2,0,1,229,1,1,0,FALSO
40,7,1,1,0,1,0,6,204,3,4,3,FALSO
24,7,3,4,1,0,1,0,196,0,0,2,FALSO
35,1,1,0,0,1,2,1,204,3,4,4,FALSO
54,4,5,1,0,2,1,4,229,1,1,2,FALSO
9,3,2,0,0,1,0,0,268,2,4,0,FALSO
72,12,6,0,3,2,1,12,196,3,10,5,FALSO
3,2,0,0,0,1,0,1,56,1,2,1,FALSO
12,3,4,0,0,1,0,0,225,2,2,1,FALSO
99,24,36,13,1,0,0,13,96,3,6,2,FALSO
25,7,5,0,0,2,3,1,56,1,2,2,FALSO
3,1,0,0,0,0,0,1,229,1,1,0,FALSO
3,1,0,0,0,0,0,1,268,2,4,2,FALSO
3,1,0,0,0,1,1,0,96,3,6,0,FALSO
5,1,2,0,0,1,0,0,56,2,3,2,FALSO
1,1,0,0,0,0,2,0,204,3,4,0,FALSO
13,2,0,0,1,1,1,0,196,1,1,2,FALSO
7,2,0,0,0,2,0,0,196,1,2,0,FALSO
3,1,0,0,0,1,1,1,196,1,2,0,FALSO
99,24,36,13,1,0,0,3,96,3,6,2,FALSO
23,6,2,1,1,4,0,0,268,2,4,2,FALSO
3,1,0,0,0,0,0,1,196,1,1,0,FALSO
3,1,0,0,0,1,1,1,56,1,2,0,FALSO
15,4,1,1,1,2,2,2,96,3,6,0,FALSO
5,2,0,0,0,0,1,0,196,1,1,0,FALSO
1,1,0,0,0,0,0,0,204,2,2,0,FALSO
3,1,0,1,0,1,0,0,225,2,3,1,FALSO
43,1,1,0,0,1,0,3,268,2,4,3,FALSO
3,1,0,0,0,1,0,1,268,2,4,0,FALSO
3,1,0,0,0,1,0,1,268,2,4,3,FALSO
10,2,2,2,0,0,0,8,229,1,1,0,FALSO
3,1,0,0,0,0,1,1,268,2,4,1,FALSO
25,3,1,2,0,0,1,3,229,1,1,0,FALSO
11,2,1,0,1,0,1,0,96,3,6,2,FALSO
7,2,3,0,0,0,0,1,225,2,2,0,FALSO
4,1,0,0,0,1,0,1,196,1,2,0,FALSO
4,2,1,0,0,1,0,0,229,1,1,0,FALSO
1,1,0,0,0,0,2,0,204,2,2,0,FALSO
7,2,1,1,0,0,0,0,0,1,2,0,FALSO
8,2,3,0,0,1,1,2,196,1,2,2,FALSO
3,1,0,0,0,0,1,0,196,3,10,0,FALSO
3,1,0,0,0,1,11,0,229,1,1,0,FALSO
72,15,11,2,1,2,1,2,56,1,2,15,FALSO
3,1,0,0,0,1,2,0,204,2,2,0,FALSO
5,2,0,0,0,0,2,0,229,1,1,0,FALSO
3,1,0,0,0,1,1,0,196,0,0,2,FALSO
59,10,8,2,4,1,1,4,0,2,3,2,FALSO
3,1,0,0,0,1,0,0,56,1,2,0,FALSO
26,5,5,1,0,3,1,2,196,1,4,1,FALSO
148,24,14,2,4,5,0,14,268,2,4,9,FALSO
7,2,2,0,0,0,1,0,0,1,2,0,FALSO
3,1,0,0,0,0,0,0,56,1,2,0,FALSO
6,1,2,0,0,1,1,1,229,1,1,0,FALSO
16,3,0,0,1,1,1,0,196,1,1,2,FALSO
24,7,7,3,0,1,0,4,56,1,2,2,FALSO
9,2,2,0,0,1,2,1,229,1,1,0,FALSO
7,2,2,2,0,0,2,1,196,3,6,1,FALSO
3,1,0,0,0,0,1,1,268,2,4,0,FALSO
51,6,31,7,1,0,0,3,56,1,2,0,FALSO
3,1,0,0,0,1,2,0,196,0,0,0,FALSO
14,4,0,1,0,1,0,0,225,2,3,0,FALSO
14,2,0,0,1,0,1,0,196,3,10,2,FALSO
9,1,6,0,0,1,1,0,196,3,10,0,FALSO
6,1,3,0,0,0,1,0,84,1,1,0,FALSO
7,3,1,0,0,0,0,1,196,3,10,1,FALSO
36,6,2,0,3,5,1,4,196,0,0,4,FALSO
22,4,0,0,2,1,1,2,0,2,3,0,FALSO
33,8,1,0,1,0,1,2,96,3,6,7,FALSO
10,2,1,0,0,1,2,0,196,0,0,0,FALSO
8,1,5,0,0,0,1,0,56,1,2,0,FALSO
3,1,0,0,0,1,1,0,229,1,1,0,FALSO
17,2,9,0,0,0,0,7,196,3,10,1,FALSO
7,1,1,0,0,2,0,2,196,1,1,2,FALSO
7,2,2,0,0,1,1,1,196,3,10,1,FALSO
23,1,0,0,0,0,4,0,196,0,0,3,FALSO
34,10,7,0,0,1,0,0,196,0,0,4,FALSO
13,2,2,0,0,0,2,1,196,3,10,0,FALSO
3,1,0,0,0,1,0,1,225,2,3,0,FALSO
11,1,1,0,0,0,1,0,196,3,10,0,FALSO
3,1,0,0,0,1,1,0,268,2,4,1,FALSO
28,3,5,0,0,1,2,2,229,1,1,3,FALSO
36,3,3,0,1,3,0,1,204,3,4,5,FALSO
8,2,0,0,0,2,0,0,225,2,2,0,FALSO
4,1,1,0,0,0,1,0,0,2,3,0,FALSO
8,2,0,0,0,1,4,0,196,1,1,1,FALSO
6,1,2,0,0,0,0,1,196,1,1,0,FALSO
13,1,10,0,0,1,2,0,56,1,2,0,FALSO
6,1,2,0,0,1,0,1,268,2,4,1,FALSO
3,1,1,0,0,0,0,0,196,1,1,0,FALSO
4,1,1,0,0,0,0,0,196,3,10,0,FALSO
16,3,3,0,0,1,0,1,132,0,0,0,FALSO
6,1,3,3,0,1,1,1,96,3,6,1,FALSO
9,3,0,0,0,1,0,8,204,3,4,2,FALSO
3,1,0,0,0,1,2,0,56,1,2,0,FALSO
39,8,6,3,1,1,2,2,196,0,0,5,FALSO
26,5,2,1,1,1,4,7,229,1,1,4,FALSO
3,1,0,1,0,1,0,0,196,1,2,1,FALSO
3,1,0,0,0,1,1,0,225,2,3,1,FALSO
3,1,1,0,0,0,1,0,0,1,2,0,FALSO
3,1,0,0,0,0,1,1,56,1,2,0,FALSO
7,2,1,0,0,0,1,2,196,1,4,0,FALSO
11,2,2,0,0,1,0,0,132,0,0,0,FALSO
3,1,0,0,0,1,0,1,196,1,1,0,FALSO
1,1,0,0,0,0,1,0,204,3,4,0,FALSO
3,1,0,0,0,1,1,0,56,1,2,0,FALSO
50,7,5,0,2,1,2,9,229,1,1,5,FALSO
8,1,3,3,0,1,0,1,56,2,3,0,FALSO
11,2,2,0,0,1,0,2,229,1,1,1,FALSO
5,1,3,0,0,0,0,0,196,0,0,0,FALSO
8,2,0,0,0,2,3,1,196,0,0,0,FALSO
1,1,0,0,0,0,0,0,56,1,2,0,FALSO
10,2,1,0,0,2,10,1,196,3,10,0,FALSO
8,2,0,0,0,1,0,4,196,0,0,2,FALSO
3,1,1,0,0,0,1,0,196,1,1,0,FALSO
16,5,1,0,0,0,0,2,204,3,4,0,FALSO
21,4,1,0,1,1,1,2,196,3,10,3,FALSO
24,8,2,0,1,4,0,3,268,2,4,3,FALSO
3,1,0,0,0,0,1,1,56,2,3,0,FALSO
6,4,0,1,0,0,1,0,125,1,2,0,FALSO
3,1,0,0,0,1,0,1,225,2,2,0,FALSO
3,1,0,0,0,1,0,0,196,1,4,0,FALSO
3,1,0,0,0,1,1,0,196,1,2,1,FALSO
7,2,1,0,0,2,0,0,196,1,2,0,FALSO
3,1,1,0,0,0,1,0,56,1,2,0,FALSO
18,3,2,0,1,3,1,0,96,3,6,0,FALSO
10,2,6,0,0,0,0,0,196,0,0,0,FALSO
27,2,0,0,0,0,2,1,229,1,1,2,FALSO
7,1,5,0,0,0,1,1,268,2,4,0,FALSO
18,3,4,5,0,0,1,0,56,1,2,1,FALSO
23,7,2,0,1,4,2,1,0,2,3,1,FALSO
3,1,1,0,0,0,0,0,56,1,2,0,FALSO
