release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,"setSource/2[java.io.File,int]","org.apache.openjpa.meta.ClassMetaData.setSource/2[java.io.File,int]",4,1,2,0,0,0,2,0,804,1,1,0,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults/java.java,getLog/1[org.apache.openjpa.meta.ClassMetaData],org.apache.openjpa.persistence.PersistenceMetaDataDefaults.getLog/1[org.apache.openjpa.meta.ClassMetaData],3,1,0,0,0,1,0,1,804,0,0,2,true
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager/java.java,"initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]","org.apache.openjpa.kernel.ObjectIdStateManager.initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]",3,1,0,0,0,0,0,0,804,0,0,0,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,"toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]",14,11,6,0,0,2,1,4,785,1,1,0,true
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository/java.java,getQueryMetaDatas/0,org.apache.openjpa.meta.MetaDataRepository.getQueryMetaDatas/0,3,1,0,0,0,1,1,0,804,0,0,0,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer/java.java,serialize/1[java.util.Collection],org.apache.openjpa.persistence.XMLPersistenceMetaDataSerializer.serialize/1[java.util.Collection],62,26,14,0,0,0,0,15,804,0,0,6,false
1.2.0,org/apache/openjpa/persistence/util/SourceCode.java,isValidToken/1[java.lang.String],org.apache.openjpa.persistence.util.SourceCode.isValidToken/1[java.lang.String],3,3,0,0,0,1,4,1,-1,-1,0,0,false
1.2.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory/java.java,findTable/1[java.lang.String],org.apache.openjpa.jdbc.schema.DynamicSchemaFactory.findTable/1[java.lang.String],19,6,9,1,0,4,0,1,768,0,0,0,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer/java.java,removeSequenceMetaData/1[org.apache.openjpa.persistence.SequenceMetaData],org.apache.openjpa.persistence.XMLPersistenceMetaDataSerializer.removeSequenceMetaData/1[org.apache.openjpa.persistence.SequenceMetaData],10,7,3,0,0,4,1,0,804,0,0,1,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,assertCandidateType/0,org.apache.openjpa.kernel.QueryImpl.assertCandidateType/0,3,3,0,0,0,0,1,1,785,1,1,0,true
1.2.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath/java.java,validateMapStrategy/1[org.apache.openjpa.jdbc.kernel.exps.Strategy],org.apache.openjpa.jdbc.kernel.exps.PCPath.validateMapStrategy/1[org.apache.openjpa.jdbc.kernel.exps.Strategy],3,3,0,1,0,0,3,0,787,1,2,1,false
1.2.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator/java.java,last/0,org.apache.openjpa.lib.jdbc.LoggingConnectionDecorator.LoggingConnection.LoggingResultSet.last/0,13,2,2,0,1,1,0,1,694,0,0,0,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer/java.java,"serializeAttributeOverride/2[org.apache.openjpa.meta.FieldMetaData,org.apache.openjpa.meta.FieldMetaData]","org.apache.openjpa.persistence.XMLPersistenceMetaDataSerializer.serializeAttributeOverride/2[org.apache.openjpa.meta.FieldMetaData,org.apache.openjpa.meta.FieldMetaData]",3,1,0,0,0,1,2,0,804,0,0,0,false
1.2.0,org/apache/openjpa/jdbc/kernel/exps/GeneralCaseExpression.java,"load/3[org.apache.openjpa.jdbc.kernel.exps.ExpContext,org.apache.openjpa.jdbc.kernel.exps.ExpState,org.apache.openjpa.jdbc.kernel.exps.Result]","org.apache.openjpa.jdbc.kernel.exps.GeneralCaseExpression.load/3[org.apache.openjpa.jdbc.kernel.exps.ExpContext,org.apache.openjpa.jdbc.kernel.exps.ExpState,org.apache.openjpa.jdbc.kernel.exps.Result]",3,1,0,0,0,1,0,1,-1,-1,0,0,false
1.2.0,org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java,"PreparedQueryImpl/2[java.lang.String,org.apache.openjpa.jdbc.kernel.Query]","org.apache.openjpa.jdbc.kernel.PreparedQueryImpl.PreparedQueryImpl/2[java.lang.String,org.apache.openjpa.jdbc.kernel.Query]",3,1,0,0,0,0,1,0,-1,-1,0,0,false
1.2.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer/java.java,addTargetEntityAttribute/1[org.apache.openjpa.meta.FieldMetaData],org.apache.openjpa.persistence.XMLPersistenceMetaDataSerializer.addTargetEntityAttribute/1[org.apache.openjpa.meta.FieldMetaData],15,7,4,0,0,0,3,3,804,0,0,2,false
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask/java.java,"addSetManagedValueCode/2[org.apache.openjpa.enhance.Code,org.apache.openjpa.enhance.FieldMetaData]","org.apache.openjpa.enhance.PCEnhancer.addSetManagedValueCode/2[org.apache.openjpa.enhance.Code,org.apache.openjpa.enhance.FieldMetaData]",11,4,0,1,0,0,6,5,804,0,0,0,false
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java.java,getDataCacheManager/0,org.apache.openjpa.conf.OpenJPAConfiguration.getDataCacheManager/0,1,1,0,0,0,0,0,0,804,0,0,0,false
1.2.0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java.java,setTrackChangesByType/1[boolean],org.apache.openjpa.kernel.BrokerImpl.setTrackChangesByType/1[boolean],4,1,1,0,0,0,0,1,176,0,0,0,false
1.2.0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java.java,getAutoDetach/0,org.apache.openjpa.kernel.BrokerImpl.getAutoDetach/0,3,1,0,0,0,1,0,0,176,0,0,0,false
1.2.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator/java.java,"prepareStatement/5[java.lang.String,int,int,int,boolean]","org.apache.openjpa.lib.jdbc.LoggingConnectionDecorator.LoggingConnection.prepareStatement/5[java.lang.String,int,int,int,boolean]",14,2,3,0,1,1,0,3,694,0,0,1,false
1.2.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder/java.java,isNotNullExplicit/0,org.apache.openjpa.jdbc.schema.Column.isNotNullExplicit/0,3,2,0,0,0,1,2,0,787,0,0,0,false
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java.java,getBrokerImpl/0,org.apache.openjpa.conf.OpenJPAConfiguration.getBrokerImpl/0,1,1,0,0,0,0,1,0,804,0,0,0,false
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery/java.java,"executeQuery/3[org.apache.openjpa.datacache.StoreQuery,java.lang.Object[],org.apache.openjpa.datacache.Range]","org.apache.openjpa.datacache.QueryCacheStoreQuery.QueryCacheExecutor.executeQuery/3[org.apache.openjpa.datacache.StoreQuery,java.lang.Object[],org.apache.openjpa.datacache.Range]",9,3,4,0,0,3,0,4,804,0,0,3,false
