release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.0.3,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,"setSource/2[java.io.File,int]","org.apache.openjpa.meta.ClassMetaData.setSource/2[java.io.File,int]",4,1,2,0,0,0,2,0,785,2,3,0,false
1.0.3,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults/java.java,getLog/1[org.apache.openjpa.meta.ClassMetaData],org.apache.openjpa.persistence.PersistenceMetaDataDefaults.getLog/1[org.apache.openjpa.meta.ClassMetaData],3,1,0,0,0,1,0,1,785,0,0,2,false
1.0.3,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository/java.java,getQueryMetaDatas/0,org.apache.openjpa.meta.MetaDataRepository.getQueryMetaDatas/0,3,1,0,0,0,1,0,0,785,0,0,0,false
1.0.3,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,"toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]",14,11,6,0,0,2,1,4,785,1,1,0,true
1.0.3,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory/java.java,findTable/1[java.lang.String],org.apache.openjpa.jdbc.schema.DynamicSchemaFactory.findTable/1[java.lang.String],19,6,9,1,0,4,0,1,768,0,0,0,false
1.0.3,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder/java.java,"traversePath/2[org.apache.openjpa.kernel.exps.Path,java.lang.String]","org.apache.openjpa.kernel.exps.AbstractExpressionBuilder.traversePath/2[org.apache.openjpa.kernel.exps.Path,java.lang.String]",3,1,0,0,0,1,0,1,785,0,0,0,false
1.0.3,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl/java.java,setColumnIO/1[org.apache.openjpa.jdbc.meta.ColumnIO],org.apache.openjpa.jdbc.meta.ValueMappingImpl.setColumnIO/1[org.apache.openjpa.jdbc.meta.ColumnIO],3,1,1,0,0,0,0,0,768,0,0,0,false
1.0.3,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,assertCandidateType/0,org.apache.openjpa.kernel.QueryImpl.assertCandidateType/0,3,3,0,0,0,0,1,1,785,1,1,0,true
1.0.3,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath/java.java,validateMapStrategy/1[org.apache.openjpa.jdbc.kernel.exps.Strategy],org.apache.openjpa.jdbc.kernel.exps.PCPath.validateMapStrategy/1[org.apache.openjpa.jdbc.kernel.exps.Strategy],3,3,0,1,0,0,3,0,768,0,0,1,false
1.0.3,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator/java.java,last/0,org.apache.openjpa.lib.jdbc.LoggingConnectionDecorator.LoggingConnection.LoggingResultSet.last/0,13,2,2,0,1,1,0,1,694,0,0,0,false
