release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ManagedClassSubclasser/java.java,"collectRelatedUnspecifiedTypes/3[org.apache.openjpa.enhance.ClassMetaData,java.util.Collection<? extends java.lang.Class>,java.util.Set<java.lang.Class>]","org.apache.openjpa.enhance.ManagedClassSubclasser.collectRelatedUnspecifiedTypes/3[org.apache.openjpa.enhance.ClassMetaData,java.util.Collection<? extends java.lang.Class>,java.util.Set<java.lang.Class>]",11,10,5,0,0,1,1,1,57,1,1,2,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,setPCSuperclassMetaData/1[org.apache.openjpa.meta.ClassMetaData],org.apache.openjpa.meta.ClassMetaData.setPCSuperclassMetaData/1[org.apache.openjpa.meta.ClassMetaData],5,2,1,0,0,0,0,3,723,0,0,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/QueryExpressionsState/java.java,"when/2[org.apache.openjpa.persistence.criteria.Expression<java.lang.Boolean>,T]","org.apache.openjpa.persistence.criteria.Expressions.Case.when/2[org.apache.openjpa.persistence.criteria.Expression<java.lang.Boolean>,T]",6,1,1,0,0,1,0,2,702,0,0,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary/java.java,"canOuterJoin/2[int,org.apache.openjpa.jdbc.sql.ForeignKey]","org.apache.openjpa.jdbc.sql.OracleDictionary.canOuterJoin/2[int,org.apache.openjpa.jdbc.sql.ForeignKey]",8,6,0,0,0,4,0,0,706,2,5,2,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping/java.java,newPluginValue/1[java.lang.String],org.apache.openjpa.jdbc.meta.SequenceMapping.newPluginValue/1[java.lang.String],3,1,0,0,0,1,0,0,706,0,0,0,false
1.1.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData/java.java,getDriverVersion/0,org.apache.openjpa.lib.jdbc.DelegatingDatabaseMetaData.getDriverVersion/0,3,1,0,0,0,1,0,0,632,0,0,0,false
1.1.0,org/apache/openjpa/persistence/criteria/FromImpl.java,"fetch/2[java.lang.String,org.apache.openjpa.persistence.criteria.JoinType]","org.apache.openjpa.persistence.criteria.FromImpl.fetch/2[java.lang.String,org.apache.openjpa.persistence.criteria.JoinType]",3,1,0,0,0,1,1,5,-1,-1,0,0,false
1.1.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl/java.java,begin/0,org.apache.openjpa.persistence.EntityManagerImpl.begin/0,3,1,0,0,0,0,0,1,723,0,0,0,false
1.1.0,org/apache/openjpa/persistence/util/SourceCode.java,"addComment/2[boolean,java.lang.String[]]","org.apache.openjpa.persistence.util.SourceCode.addComment/2[boolean,java.lang.String[]]",6,3,1,0,0,1,2,5,-1,-1,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedListener/java.java,getId/1[java.lang.Class<Y>],org.apache.openjpa.persistence.meta.Types.Identifiable.getId/1[java.lang.Class<Y>],5,1,2,0,0,1,0,3,723,0,0,0,false
1.1.0,org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java,getDelegator/0,org.apache.openjpa.persistence.criteria.CriteriaQueryImpl.getDelegator/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
1.1.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/J2DoPrivHelper/java.java,getPropertiesAction/0,org.apache.openjpa.lib.util.J2DoPrivHelper.getPropertiesAction/0,8,1,0,0,0,1,0,1,376,1,3,0,false
